태양광발전시설명,소재지도로명주소,위도,경도,설치상세위치구분명,가동상태구분명,공급전압,주파수,설치연도,설비용량(kW),22년 발전량(kWh),23년 발전량(kWh),데이터기준일자
곰달래문화복지센터,서울특별시 강서구 강서로5길 50,37.52899153,126.8486705,옥상,정상가동,380,60,2012,72.25,16418,15631,2023-12-07
발산1동 주민센터,서울특별시 강서구 강서로47길54,37.5531502,126.8331822,옥상,정상가동,380,60,2013,19.5,14738,18755,2023-12-07
해바라기어린이집,서울특별시 강서구 등촌로13자길 39-16,37.5373384,126.8558402,옥상,정상가동,220,60,2013,9,9531,7601,2023-12-07
까치산시장고객지원센터,서울특별시 강서구 강서로12길 14,37.5315334,126.8478476,옥상,정상가동,380,60,2013,10,5781,3970,2023-12-07
남부골목시장고객지원센터,서울특별시 강서구 등촌로5길 62-4,37.5331652,126.8600303,옥상,정상가동,380,60,2013,10,6460,5652,2023-12-07
송화벽화시장고객지원센터,서울특별시 강서구 강서로 263-29,37.5491279,126.8346492,옥상,정상가동,380,60,2013,10,9161,8131,2023-12-07
강서구청 가양동별관,서울특별시 강서구 양천로59길38,37.5606169,126.8596447,옥상,정상가동,380,60,2014,10.4,13385,12089,2023-12-07
강서통합관제센터,서울특별시 강서구 방화대로 334,37.5590009,126.8167292,옥상,정상가동,380,60,2014,25,27372,29508,2023-12-07
가양1동 주민센터,서울특별시 강서구 허준로30,37.5695093,126.844772,옥상,정상가동,380,60,2015,19.22,20449,18690,2023-12-07
가양도서관(가양유수지 복합센터),서울특별시 강서구 양천로61길 101,37.5599598,126.86556,옥상,정상가동,380,60,2015,48,43501,53877,2023-12-07
강서구의회,서울특별시 강서구 등촌로185,37.5465076,126.8622829,옥상,정상가동,380,60,2015,22.44,19615,18021,2023-12-07
공항동 주민센터,서울특별시 강서구 송정로45,37.5587825,126.8101136,옥상,정상가동,380,60,2015,19.38,18232,13641,2023-12-07
강서청소년회관,서울특별시 강서구 공항대로42길23-19,37.5549434,126.8445806,옥상,정상가동,380,60,2016,20,24142,21732,2023-12-07
허준박물관,서울특별시 강서구 허준로87,37.5680242,126.8509738,옥상,정상가동,380,60,2016,48.36,48300,41886,2023-12-07
방화1동주민센터,서울특별시 강서구 방화동로 124-1,37.5715317,126.8121812,옥상,정상가동,380,60,2017,41,40473,34501,2023-12-07
마곡레포츠센터,서울특별시 강서구 양천로251,37.5656712,126.840318,옥상,정상가동,380,60,2018,60.48,74619,67627,2023-12-07
내촌경로당,서울특별시 강서구 개화동로13길12-8,37.5774695,126.8016073,옥상,정상가동,220,60,2018,3,2653,2436,2023-12-07
신곡실버문화센터,서울특별시 강서구 곰달래로49길130,37.5366912,126.8545383,옥상,정상가동,220,60,2018,5,2554,2944,2023-12-07
마곡실내배드민턴장,서울특별시 강서구 양천로 251,37.5656712,126.840318,옥상,정상가동,380,60,2019,36.63,40825,28654,2023-12-07
화곡6-1공영주차장,서울특별시 강서구 우장산로 114,37.5530328,126.8484635,옥상,정상가동,380,60,2020,62.7,73771,67875,2023-12-07
화곡4동주민센터,서울특별시 강서구 곰달래로57가길 26,37.5345612,126.8607912,옥상,정상가동,380,60,2021,30.8,35349,33091,2023-12-07
강서화곡보건분소,서울특별시 강서구 월정로30길 96,37.5354636,126.8411212,옥상,정상가동,380,60,2021,10,12665,11793,2023-12-07
봉제산노인복지센터,서울특별시 강서구 초록마을로15길 12,37.5416079,126.8513006,옥상,정상가동,380,60,2021,22,17968,20953,2023-12-07
강서자원순환센터,서울특별시 강서구 양천로 253,37.5781593,126.8338224,옥상+지상,정상가동,380,60,2021,52,,2551,2023-12-07
