연도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 ,평균전력량(월)
2024,종로구,주택용,"24,457,510","23,282,118","20,752,552","19,900,744","18,662,717",21411128.2
2024,종로구,일반용,"118,970,820","108,084,734","96,998,216","89,178,768","87,147,189",100075945.4
2024,종로구,교육용,"10,915,579","9,659,512","8,515,101","7,473,415","6,702,641",8653249.6
2024,종로구,산업용,"5,977,510","6,292,446","5,672,759","5,735,979","5,085,070",5752752.8
2024,종로구,농사용,"1,314","1,190","3,539","1,655","1,246",1788.8
2024,종로구,가로등,"701,358","657,437","603,069","572,700","531,209",613154.6
2024,종로구,심 야,"2,176,602","2,120,798","1,792,578","1,933,616","3,122,539",2229226.6
2024,종로구,합 계,"163,200,693","150,098,235","134,337,814","124,796,877","121,252,611",138737246
2024,중구,주택용,"19,981,933","18,874,914","17,100,485","16,496,121","15,771,600",17645010.6
2024,중구,일반용,"168,696,850","151,277,557","139,014,758","130,597,903","132,961,518",144509717.2
2024,중구,교육용,"5,656,362","4,527,247","4,181,968","3,239,471","3,053,083",4131626.2
2024,중구,산업용,"19,120,690","18,530,057","16,377,017","16,443,403","14,793,729",17052979.2
2024,중구,농사용,"5,924","6,749","6,102","4,244","3,497",5303.2
2024,중구,가로등,"938,043","909,345","824,299","797,234","734,819",840748
2024,중구,심 야,"696,639","645,573","606,055","1,827,972","4,069,972",1569242.2
2024,중구,합 계,"215,096,441","194,771,442","178,110,684","169,406,348","171,388,218",185754626.6
2024,용산구,주택용,"37,515,050","35,953,024","31,979,193","31,134,121","29,148,614",33146000.4
2024,용산구,일반용,"91,149,889","85,491,049","76,402,772","72,840,868","72,549,142",79686744
2024,용산구,교육용,"5,740,110","4,962,389","4,589,591","3,873,040","3,346,654",4502356.8
2024,용산구,산업용,"9,212,848","8,666,521","8,076,884","7,868,712","7,479,417",8260876.4
2024,용산구,가로등,"1,045,419","987,953","903,241","830,559","759,002",905234.8
2024,용산구,심 야,"682,457","612,665","566,714","715,929","1,041,447",723842.4
2024,용산구,합 계,"145,345,773","136,673,601","122,518,395","117,263,229","114,324,276",127225054.8
2024,성동구,주택용,"40,065,873","39,420,320","34,865,550","34,650,587","32,070,908",36214647.6
2024,성동구,일반용,"78,777,710","72,518,088","62,474,914","56,528,259","54,962,632",65052320.6
2024,성동구,교육용,"8,809,345","7,584,692","6,992,813","6,098,931","5,815,725",7060301.2
2024,성동구,산업용,"76,191,849","73,205,407","69,353,155","68,304,771","66,910,331",70793102.6
2024,성동구,농사용,"6,407","6,534","7,617","8,750","7,577",7377
2024,성동구,가로등,"939,534","884,464","824,831","758,989","704,112",822386
2024,성동구,심 야,"336,258","328,562","253,114","163,466","70,986",230477.2
2024,성동구,합 계,"205,126,976","193,948,067","174,771,994","166,513,753","160,542,271",180180612.2
2024,동대문구,주택용,"49,682,684","48,390,837","43,231,903","43,053,217","40,157,939",44903316
2024,동대문구,일반용,"63,519,638","61,207,836","51,321,356","47,123,628","44,012,735",53437038.6
2024,동대문구,교육용,"10,699,457","9,248,341","8,504,776","7,272,156","6,572,119",8459369.8
2024,동대문구,산업용,"14,846,537","14,467,736","12,817,121","12,364,803","11,704,596",13240158.6
2024,동대문구,농사용,"22,079","21,651","18,527","16,173","14,442",18574.4
2024,동대문구,가로등,"870,200","809,606","752,246","683,744","624,097",747978.6
2024,동대문구,심 야,"624,324","539,423","443,090","363,815","376,393",469409
2024,동대문구,합 계,"140,264,919","134,685,430","117,089,019","110,877,536","103,462,321",121275845
2024,성북구,주택용,"56,311,523","55,190,214","49,448,381","49,387,041","45,581,558",51183743.4
2024,성북구,일반용,"54,128,158","51,309,921","43,744,241","40,644,894","38,345,464",45634535.6
2024,성북구,교육용,"18,971,877","16,360,317","15,360,949","13,370,643","12,218,015",15256360.2
2024,성북구,산업용,"8,697,575","8,273,035","7,815,783","7,566,316","7,667,239",8003989.6
2024,성북구,농사용,"1,224","1,287","1,244","1,259","1,312",1265.2
2024,성북구,가로등,"1,167,569","1,078,445","999,428","935,007","865,739",1009237.6
2024,성북구,심 야,"1,696,194","1,615,559","1,338,204","911,902","555,047",1223381.2
2024,성북구,합 계,"140,974,120","133,828,778","118,708,230","112,817,062","105,234,374",122312512.8
2024,도봉구,주택용,"39,072,623","38,089,495","34,169,656","33,708,186","31,238,881",35255768.2
2024,도봉구,일반용,"35,258,202","33,291,437","28,233,438","25,896,501","24,523,996",29440714.8
2024,도봉구,교육용,"4,345,029","3,674,586","2,988,511","2,755,290","1,700,031",3092689.4
2024,도봉구,산업용,"4,559,304","4,431,747","3,982,842","4,133,785","3,915,392",4204614
2024,도봉구,농사용,"31,633","31,747","26,818","26,082","23,220",27900
2024,도봉구,가로등,"626,574","595,973","549,682","526,756","487,626",557322.2
2024,도봉구,심 야,"405,155","392,000","303,986","220,405","142,725",292854.2
2024,도봉구,합 계,"84,298,520","80,506,985","70,254,933","67,267,005","62,031,871",72871862.8
2024,은평구,주택용,"61,061,197","59,388,258","53,803,892","52,596,248","49,485,224",55266963.8
2024,은평구,일반용,"53,846,644","51,695,521","43,889,904","41,082,397","38,802,969",45863487
2024,은평구,교육용,"5,111,465","4,494,346","3,805,158","3,149,606","2,077,476",3727610.2
2024,은평구,산업용,"17,080,530","16,677,558","15,749,365","15,598,420","14,898,608",16000896.2
2024,은평구,농사용,"17,643","16,814","17,003","16,698","14,884",16608.4
2024,은평구,가로등,"743,002","696,202","638,286","580,716","525,382",636717.6
2024,은평구,심 야,"985,998","946,552","690,983","487,115","365,807",695291
2024,은평구,합 계,"138,846,479","133,915,251","118,594,591","113,511,200","106,170,350",122207574.2
2024,서대문구,주택용,"42,122,494","40,314,633","36,791,709","35,790,345","33,990,976",37802031.4
2024,서대문구,일반용,"55,799,737","51,795,541","46,220,727","43,066,242","42,809,223",47938294
2024,서대문구,교육용,"19,594,387","16,285,909","16,327,636","13,612,841","13,810,091",15926172.8
