스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자
1,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 2-17,37.57597922,126.8370585,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.57340882,126.8372315,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.573459,126.8372315,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.57340882,126.837201,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,양천로47길,,서울특별시 강서구 가양동 258-3,37.57066701,126.837783,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,양천로47길,,서울특별시 강서구 가양동 258-3,37.57066701,126.8377538,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,양천로47길,,서울특별시 강서구 가양동 258-3,37.570641,126.8377538,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.8167161,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.8167161,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816775,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816754,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816745,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816743,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816716,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816702,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 252-4,37.5701294,126.8165174,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 271-4,37.57130015,126.816705,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 252-4,37.5701294,126.816545,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 240-5,37.5692296,126.816658,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 240-5,37.5692296,126.816685,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.56834294,126.8166703,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.56834294,126.816687,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
1,서울특별시,강서구,방화대로,,서울특별시 강서구 방화동 217-22,37.568395,126.8166703,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2024-04-09
